"","TAHUN 2024","","","","","","","","","","","","","","","","","",""
"","","  1,285,291,380 ","  751,403,901 ","  1,299,205,520 ","  1,286,222,683 ","  1,023,944,928 ","  1,354,442,900 ","  1,062,829,621 ","  918,845,969 ","","","","","","","","","",""
"","TOTAL DOME SEMARANG_GT","","","","","","","","","","","","","","","","","",""
"","Product Line","2024/01","2024/02","2024/03","2024/04","2024/05","2024/06","2024/07","2024/08","2024/09","2024/10","2024/11","2024/12","","","","","",""
"","B10-RASA MANTAP SOY","  206,614,581 ","  148,944,366 ","  169,369,280 ","  232,664,663 ","  193,239,442 ","  280,259,336 ","  266,979,840 ","  206,599,471 ","","","","","","","","","",""
"","B20-SOY SACHET","  2,078,707 ","  2,715,018 ","  4,986,177 ","- 3,215,257 ","  3,172,129 ","- 8,235,401 ","  1,724,680 ","  2,931,820 ","","","","","","","","","",""
"","B30-SPECIAL SAUCE","  53,915,843 ","  26,508,483 ","  35,795,829 ","  45,317,538 ","  27,284,755 ","  42,056,310 ","  37,950,763 ","  37,568,349 ","","","","","","","","","",""
"","B40-SHRIMP PASTE","  316,117,118 ","  104,953,099 ","  189,583,448 ","  241,693,446 ","  218,532,899 ","  327,915,335 ","  232,702,480 ","  152,489,335 ","","","","","","","","","",""
"","B50-CHILI","  186,929,907 ","  134,538,298 ","  144,382,166 ","  207,207,207 ","  151,165,421 ","  135,816,770 ","  158,175,082 ","  132,122,585 ","","","","","","","","","",""
"","B60-TOMATO KETCHUP","  63,740,485 ","  29,823,499 ","  43,347,363 ","  61,532,809 ","  49,525,683 ","  37,718,715 ","  47,323,645 ","  42,409,016 ","","","","","","","","","",""
"","C10-CANNED FISH SARDINES","  283,454,340 ","  188,149,012 ","  586,312,449 ","  341,023,158 ","  146,278,160 ","  353,256,068 ","  147,287,830 ","  204,494,116 ","","","","","","","","","",""
"","E10-ADULT JUICE","  17,083,731 ","  13,316,922 ","  10,451,177 ","  19,884,659 ","  19,435,352 ","  17,780,288 ","  22,915,898 ","  17,639,336 ","","","","","","","","","",""
